ID,Fish Caught,Weight,Bait,Location,Date of Catch,Time of Catch,Catcher
1,Sloppy Mouth,,Buzzbait,Cabin (pond 5),07/08/2024,afternoon,Hunter
2,Crappie,,Crankbait,Cabin (pond 5),07/08/2024,afternoon,Hunter
3,Sloppy Mouth,,Chatterbait,Cabin (pond 6),07/08/2024,evening,Sam
4,Sloppy Mouth,,Chatterbait,Cabin (pond 6),07/08/2024,evening,Sam
5,Sloppy Mouth,,Jitterbug,Cabin (pond 6),07/08/2024,evening,May
7,Crappie,,Spunky Sperm,Cabin (pond 5),07/08/2024,afternoon,Kob
17,Sloppy Mouth,,Jitterbug,Cabin (pond 6),6/26/2024,evening,Hunter
18,Sloppy Mouth,,Whopper Plopper,Cabin (pond 6),6/26/2024,afternoon,Hunter
19,Sloppy Mouth,,Jitterbug,Cabin (pond 6),6/26/2024,afternoon,Hunter
20,Crappie,,Jitterbug,Cabin (pond 6),6/26/2024,afternoon,Hunter
21,Sloppy Mouth,,Soft Plastic,Cabin (pond 6),06/15/2024,afternoon,Kob
22,Sloppy Mouth,,Crankbait,Cabin (pond 2),06/15/2024,afternoon,Sam
23,Sloppy Mouth,,Popper,Cabin (pond 5),07/08/2024,afternoon,Kob
24,Crappie,,Jitterbug,Cabin (pond 5),6/29/2024,evening,May
25,Sloppy Mouth,,Jitterbug,Cabin (pond 5),6/29/2024,evening,May
26,Sloppy Mouth,,Jitterbug,Cabin (pond 5),6/29/2024,evening,May
27,Sloppy Mouth,,Spunky Sperm,Cabin (pond 6),06/15/2024,afternoon,Hunter
